category 1,feature 1,category 2,feature 2,population share
f,f2,b,b1,0.03332494757379137
f,f2,b,b2,0.03814395792100498
f,f2,b,b3,0.01914519646742437
f,f2,b,b4,0.012343958459757208
f,f2,d,d1,0.015845808716607367
f,f2,d,d2,0.02852959990616252
f,f2,d,d3,0.058582651799208046
f,f2,e,e1,0.03317548952426299
f,f2,e,e2,0.039972373886144615
f,f2,e,e3,0.017531824558861545
f,f2,e,e4,0.010074742720016329
f,f2,e,e5,0.002203629732692454
g,g1,a,a1,0.369568560231415
g,g1,a,a2,0.37968339446333554
g,g1,a,a3,0.0
g,g1,b,b1,0.19153345828175333
g,g1,b,b2,0.1956284579099086
g,g1,b,b3,0.17078422894063533
g,g1,b,b4,0.1913058095624533
g,g1,c,c1,0.03824611607684019
g,g1,c,c10,0.027952182682238612
g,g1,c,c11,0.0554853764742558
g,g1,c,c12,0.01520696069083899
g,g1,c,c2,0.08150980749551227
g,g1,c,c3,0.06569389786637213
g,g1,c,c4,0.046302659093878214
g,g1,c,c5,0.07264724108632786
g,g1,c,c6,0.07335025067328298
g,g1,c,c7,0.12229878125315678
g,g1,c,c8,0.0952169112724212
g,g1,c,c9,0.055341770029625516
g,g1,d,d1,0.13629745346645095
g,g1,d,d2,0.2908736604693887
g,g1,d,d3,0.3220808407589109
g,g1,e,e1,0.19311260303163297
g,g1,e,e2,0.336835618124095
g,g1,e,e3,0.1631042966143489
g,g1,e,e4,0.04291737529392368
g,g1,e,e5,0.01328206163074997
g,g1,f,f1,0.6576381243088062
g,g1,f,f2,0.09161383038594434
g,g2,a,a1,0.12089478267284456
g,g2,a,a2,0.1298532626324049
g,g2,a,a3,0.0
g,g2,b,b1,0.025020291677802658
g,g2,b,b2,0.05305817500762285
g,g2,b,b3,0.07442839839501449
g,g2,b,b4,0.09824118022480946
g,g2,c,c1,0.0033938774163821263
g,g2,c,c10,0.020590387528496946
g,g2,c,c11,0.029975553871762674
g,g2,c,c12,0.013310914997288594
g,g2,c,c2,0.030020600055214508
g,g2,c,c3,0.01831883374944955
g,g2,c,c4,0.027156193124145297
g,g2,c,c5,0.009823601257211143
g,g2,c,c6,0.020752623776904677
g,g2,c,c8,0.04209694090455567
g,g2,c,c9,0.030058160915925922
g,g2,d,d1,0.043307488391155766
g,g2,d,d2,0.08479744712129268
g,g2,d,d3,0.12264310979280099
g,g2,e,e1,0.05437190025095104
g,g2,e,e2,0.11926893663939808
g,g2,e,e3,0.05726021440186776
g,g2,e,e5,0.003567082427806203
g,g2,f,f1,0.23940381526921586
g,g2,f,f2,0.011344230036033586
