ratio product,selection probability
1.6462353485883197,0.0864
2.9723693793955768,0.0416
1.887777002298571,0.0494
1.887777002298571,0.0464
0.8153341142619871,0.1169
1.9708391903997076,0.0497
1.9708391903997076,0.0497
1.9708391903997076,0.0478
1.9708391903997076,0.0493
1.9708391903997076,0.0482
1.4721310396396992,0.0606
1.4721310396396992,0.0556
3.558459649332806,0.0033
3.558459649332806,0.0039
3.558459649332806,0.0044
3.558459649332806,0.0042
3.558459649332806,0.0042
3.558459649332806,0.0023
3.558459649332806,0.0032
0.3128316175237632,0.4221
0.5648348649734614,0.38
0.5648348649734614,0.3769
0.7607534316647392,0.1831
0.7607534316647392,0.1798
0.7607534316647392,0.182
0.7607534316647392,0.1817
0.7607534316647392,0.1798
1.83890585605273,0.0732
1.83890585605273,0.0734
1.83890585605273,0.0753
1.83890585605273,0.0719
1.83890585605273,0.0761
1.83890585605273,0.0761
1.83890585605273,0.0707
1.83890585605273,0.0717
1.83890585605273,0.072
1.83890585605273,0.0729
1.83890585605273,0.0741
1.83890585605273,0.071
1.3735825849502237,0.084
1.3735825849502237,0.0852
1.3735825849502237,0.0809
1.3735825849502237,0.0847
1.3735825849502237,0.0819
3.3202466845396517,0.005
3.3202466845396517,0.0057
3.3202466845396517,0.0067
3.3202466845396517,0.0047
3.3202466845396517,0.0058
3.3202466845396517,0.0051
3.3202466845396517,0.0055
3.3202466845396517,0.0055
3.3202466845396517,0.0045
3.3202466845396517,0.0059
3.3202466845396517,0.0057
3.3202466845396517,0.0043
3.3202466845396517,0.0047
3.3202466845396517,0.005
3.3202466845396517,0.0047
0.48316095659969616,0.2505
0.48316095659969616,0.2426
0.48316095659969616,0.231
0.48316095659969616,0.2389
0.48316095659969616,0.2387
0.48316095659969616,0.2407
1.1679047054220493,0.1237
1.1679047054220493,0.1263
0.8723739494161181,0.1087
0.8723739494161181,0.1074
0.8723739494161181,0.1047
2.1087168292342553,0.0225
2.1087168292342553,0.0232
2.1087168292342553,0.0225
2.1087168292342553,0.0224
2.1087168292342553,0.0226
2.1087168292342553,0.0239
2.1087168292342553,0.023
2.1087168292342553,0.0218
2.1087168292342553,0.0243
2.1087168292342553,0.0228
0.7100781159666372,0.2174
0.7100781159666372,0.2215
0.2358554122657482,0.4286
0.5701136278125288,0.2217
0.5701136278125288,0.2249
0.5701136278125288,0.2167
0.5701136278125288,0.2237
0.5701136278125288,0.2216
0.5701136278125288,0.2168
0.5701136278125288,0.2196
0.5701136278125288,0.2222
0.5701136278125288,0.2203
0.5701136278125288,0.2161
0.5701136278125288,0.2163
0.5701136278125288,0.214
0.5701136278125288,0.2179
0.5701136278125288,0.2176
0.5701136278125288,0.2174
0.5701136278125288,0.2205
0.42585004992426756,0.1802
0.42585004992426756,0.1852
0.42585004992426756,0.1812
1.0293718279948438,0.0695
1.0293718279948438,0.0686
1.0293718279948438,0.0722
1.0293718279948438,0.0689
1.0293718279948438,0.0718
1.0293718279948438,0.0653
1.0293718279948438,0.0671
1.0293718279948438,0.0662
1.0293718279948438,0.0695
1.0293718279948438,0.0681
1.0293718279948438,0.0668
1.0293718279948438,0.0662
1.0293718279948438,0.0648
1.0293718279948438,0.0713
1.0293718279948438,0.0659
1.0293718279948438,0.0677
0.7228265987843766,0.0977
1.6302642587430833,0.0787
0.4471887224479343,0.17
1.0809520223533424,0.0887
1.0809520223533424,0.0907
1.0809520223533424,0.0908
0.8074240821976592,0.0983
0.41725269340897664,0.2779
0.41725269340897664,0.2845
1.0085901547423874,0.158
1.0085901547423874,0.1576
1.0085901547423874,0.1635
0.7533729186550968,0.1546
1.8210655571737553,0.0631
1.8210655571737553,0.0599
1.8210655571737553,0.0588
1.8210655571737553,0.0563
1.8210655571737553,0.0646
1.1565741802957576,0.083
0.21570017679613185,0.3588
3.5267010930944056,0.0136
0.5597938243006993,0.3995
