algorithm,percentile of pool members,selection probability
LexiMin,23.076923076923077,0.06707317112453623
LexiMin,23.397435897435898,0.06707317112453623
LexiMin,23.717948717948715,0.06707317112453623
LexiMin,24.03846153846154,0.06707317112453623
LexiMin,24.358974358974358,0.06707317112453623
LexiMin,24.679487179487182,0.06707317112453623
LexiMin,25.0,0.06707317112453623
LexiMin,25.320512820512818,0.06707317112453623
LexiMin,25.64102564102564,0.06707317112453623
LexiMin,25.961538461538463,0.06707317112453623
LexiMin,26.282051282051285,0.06707317112453623
LexiMin,26.602564102564102,0.06707317112453623
LexiMin,26.923076923076923,0.06707317112453623
LexiMin,27.24358974358974,0.06707317112453623
LexiMin,27.564102564102566,0.06707317112453623
LexiMin,27.884615384615387,0.06707317112453623
LexiMin,28.205128205128204,0.06707317112453623
LexiMin,28.525641025641026,0.06707317112453623
LexiMin,28.846153846153843,0.06707317112453623
LexiMin,29.166666666666668,0.06707317112453624
LexiMin,29.48717948717949,0.06707317112453624
LexiMin,29.807692307692307,0.06707317112453624
LexiMin,30.128205128205128,0.06707317112453624
LexiMin,30.448717948717945,0.06707317112453624
LexiMin,30.76923076923077,0.06707317112453624
LexiMin,31.08974358974359,0.06707317112453624
LexiMin,31.41025641025641,0.06707317112453624
LexiMin,31.73076923076923,0.06707317112453624
LexiMin,32.05128205128205,0.06707317112453624
LexiMin,32.371794871794876,0.06707317112453624
LexiMin,32.69230769230769,0.06707317112453624
LexiMin,33.01282051282051,0.06707317112453624
LexiMin,33.33333333333333,0.06707317112453624
LexiMin,33.65384615384615,0.06707317112453624
LexiMin,33.97435897435898,0.06707317112453624
LexiMin,34.294871794871796,0.06707317112453626
LexiMin,34.61538461538461,0.06707317112453626
LexiMin,34.93589743589743,0.06707317112453626
LexiMin,35.256410256410255,0.06707317112453627
LexiMin,35.57692307692308,0.06707317112453627
LexiMin,35.8974358974359,0.06707317112453627
LexiMin,36.217948717948715,0.06707317112453628
LexiMin,36.53846153846153,0.0670731711245363
LexiMin,36.858974358974365,0.0670731711245363
LexiMin,37.17948717948718,0.0670731711245363
LexiMin,37.5,0.0670731711245363
LexiMin,37.82051282051282,0.06707317112453631
LexiMin,38.141025641025635,0.06707317112453633
LexiMin,38.46153846153847,0.06707317112453633
LexiMin,38.782051282051285,0.06707317112453634
LexiMin,39.1025641025641,0.06707317112453634
LexiMin,39.42307692307692,0.06707317112453634
LexiMin,39.743589743589745,0.06707317112453635
LexiMin,40.06410256410257,0.06707317112453635
LexiMin,40.38461538461539,0.06707317112453637
LexiMin,40.705128205128204,0.06707317112453637
LexiMin,41.02564102564102,0.06707317112453637
LexiMin,41.34615384615385,0.06707317112453638
